,standar,,term_localName,label,definition,usage,notes,type,controlled_value_string,tdwgutility_organizedInClass,equivalentXPath,SKOS_inSchema,tdwgutility_repeatable,Nuestras notas,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri,
1006,gsin: terms,0,language,Language,"Language used to write the species information, use ISO 639-2 vocabulary..",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/AncillaryData/language|/Dataset/Metadata/dataset/language|/Dataset/TaxonRecord/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/DirectThreats/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/DirectThreats/DirectThreatAtomized/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/Legislation/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/DistributionScope/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AbundanceData/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AverageDensity/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/BirthRate/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/CarryingCapacity/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/DensityData/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/DescriptionLifeStages/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Emigration/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Fecundity/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Immigration/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/MortalityRate/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/NumberIndividualsPerObservation/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PatternDistribution/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PopulationGrowthRate/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PopulationTrend/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/ProportionIndividualsPerStageLife/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Recruitment/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/SexRatio/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Size/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/Territory/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/AreaOfOccupancy/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/ExtentOfOccurrence/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/DistributionScope/AncillaryData/language|/Dataset/TaxonRecord/HabitatAndDistribution/AncillaryData/language|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/DistributionScope/AncillaryData/language|/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/AncillaryData/language|/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/EndemicAtomized/AncillaryData/language|/Dataset/TaxonRecord/HabitatAndDistribution/Habitats/AncillaryData/language|/Dataset/TaxonRecord/HabitatAndDistribution/Habitats/HabitatAtomized/AncillaryData/language|/Dataset/TaxonRecord/Invasiveness/AncillaryData/language|/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/AncillaryData/language|/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/language|/Dataset/TaxonRecord/NaturalHistory/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AnnualCycleAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Behavior/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Behavior/BehaviorAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Dispersal/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/EcologicalSignificance/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/EcologicalSignificance/EcologicalSignificanceAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/EnvironmentalEnvelopeAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Feeding/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Interactions/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Interactions/InteractionAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/LifeCycle/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/LifeCycle/LifeCycleAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/LifeForm/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/LifeForm/LifeFormAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Migratory/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Migratory/MigratoryAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/MiscDetails/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/MiscDetails/DetailAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/MolecularData/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/MolecularData/MolecularDataAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Reproduction/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Reproduction/ReproductionAtomized/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/Language|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/DistributionScope/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/Hierarchy/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/MiscDetails/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/MiscDetails/DetailAtomized/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/SynonymsAtomized/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/TaxonRecordName/AncillaryData/language|/Dataset/TaxonRecord/RecordMetadata/Language|/Dataset/TaxonRecord/TaxonomicDescription/AncillaryData/language|/Dataset/TaxonRecord/TaxonomicDescription/FullDescription/AncillaryData/language|/Dataset/TaxonRecord/TaxonomicDescription/FullDescription/FullDescriptionAtomized/AncillaryData/language|/Dataset/TaxonRecord/TaxonomicDescription/IdentificationKeys/AncillaryData/language|/Dataset/TaxonRecord/UsesManagementAndConservation/AncillaryData/language|/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/AncillaryData/language|/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/ManagementAndConservationAtomized/AncillaryData/language|/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/AncillaryData/language|/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/AncillaryData/language,,,"Filtrado: Agregado hace parte de Invasivness. VISTO GM y FP. Hay tres ""language"", el de Metadata, el de Legislation y este de GISIN; propuesta. Filter out ese de Gisin, y el language de legislation es ""dc:lagislation y tiene que excluirse (filter out) y language de de AncillaryData es de EOL DataObjectBaseType que se basa en dc:language. Conclusión: todos son a excluir (filter out)..... hay un 4º Language (en CommonNamesAtomized, fila 21). Este es nativo y la recomendación es hacelo dc:language",,plic,plic,http://rs.tdwg.org/plic/terms/,
1007,gsin: terms,0,citation,Citation,Publication date of the current version.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/Metadata/citation,,,Filtrado: Agregado hace parte de Invasivness,,plic,plic,http://rs.tdwg.org/plic/terms/,
1008,gsin: terms,0,memo,Memo,"A GISIN term, part of its ""SpeciesStatus"" protocol , defined as  ""An unsearchable field for providers to add anything else they think is important""",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/memo,,,Filtrado: Agregado hace parte de Invasivness,,plic,plic,http://rs.tdwg.org/plic/terms/,
1009,gsin: terms,0,publicationDate,Publication Date,Publication date of the current version.,,From GISIN: SpeciesStatus. http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/ProtocolSpecification.php#4.4.1.1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/publicationDate,,,Filtrado: Agregado hace parte de Invasivness,,plic,plic,http://rs.tdwg.org/plic/terms/,
1010,plic: terms,,AnnualCycleAtomized,Atomized Annual Cycle,AnnualCycles element in structured format. ,,,http://www.w3.org/2000/01/rdf-schema#Class,,AnnualCycles,/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AnnualCycleAtomized,,,"Filtrado: es nivel intermedio  Revisado 17.11.22 (se elimina porque se mantienen las hojas: event, startTimeInterval, etc.).",,plic,plic,http://rs.tdwg.org/plic/terms/,
1017,plic: terms,15,commonNamesAtomized,Atomized Common Names,commonNames element in structured format.  ,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized,,,Filtrado: es nivel intermedio  Revisado 17.11.22,,plic,plic,http://rs.tdwg.org/plic/terms/,
1018,plic: terms,16,commonNames,Common Names,"A list of common names, in alphabetic order, optionally followed by language and region where it is used. If language or region is omitted, it is assumed to be unknown.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames,,,"Filtrado. La descripción se ha cambiado acorde a la que pone en el wiki, antes poníaThe name of the common name, repetido con el elemento Name (GM).",,plic,plic,http://rs.tdwg.org/plic/terms/,
1020,dc: terms,0,Language,Language,Language of the common language name expresed in ISO 639-2 according to GBIF Metadata Profile.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property ,,NomenclatureAndClassification,/Dataset/AncillaryData/language|/Dataset/Metadata/dataset/language|/Dataset/TaxonRecord/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/DirectThreats/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/DirectThreats/DirectThreatAtomized/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/Legislation/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/DistributionScope/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AbundanceData/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AverageDensity/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/BirthRate/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/CarryingCapacity/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/DensityData/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/DescriptionLifeStages/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Emigration/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Fecundity/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Immigration/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/MortalityRate/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/NumberIndividualsPerObservation/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PatternDistribution/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PopulationGrowthRate/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PopulationTrend/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/ProportionIndividualsPerStageLife/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Recruitment/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/SexRatio/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Size/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/Territory/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/AreaOfOccupancy/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/ExtentOfOccurrence/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/AncillaryData/language|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/DistributionScope/AncillaryData/language|/Dataset/TaxonRecord/HabitatAndDistribution/AncillaryData/language|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/DistributionScope/AncillaryData/language|/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/AncillaryData/language|/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/EndemicAtomized/AncillaryData/language|/Dataset/TaxonRecord/HabitatAndDistribution/Habitats/AncillaryData/language|/Dataset/TaxonRecord/HabitatAndDistribution/Habitats/HabitatAtomized/AncillaryData/language|/Dataset/TaxonRecord/Invasiveness/AncillaryData/language|/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/AncillaryData/language|/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/language|/Dataset/TaxonRecord/NaturalHistory/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AnnualCycleAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Behavior/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Behavior/BehaviorAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Dispersal/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/EcologicalSignificance/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/EcologicalSignificance/EcologicalSignificanceAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/EnvironmentalEnvelopeAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Feeding/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Interactions/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Interactions/InteractionAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/LifeCycle/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/LifeCycle/LifeCycleAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/LifeForm/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/LifeForm/LifeFormAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Migratory/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Migratory/MigratoryAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/MiscDetails/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/MiscDetails/DetailAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/MolecularData/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/MolecularData/MolecularDataAtomized/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Reproduction/AncillaryData/language|/Dataset/TaxonRecord/NaturalHistory/Reproduction/ReproductionAtomized/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/Language|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/DistributionScope/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/Hierarchy/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/MiscDetails/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/MiscDetails/DetailAtomized/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/SynonymsAtomized/AncillaryData/language|/Dataset/TaxonRecord/NomenclatureAndClassification/TaxonRecordName/AncillaryData/language|/Dataset/TaxonRecord/RecordMetadata/Language|/Dataset/TaxonRecord/TaxonomicDescription/AncillaryData/language|/Dataset/TaxonRecord/TaxonomicDescription/FullDescription/AncillaryData/language|/Dataset/TaxonRecord/TaxonomicDescription/FullDescription/FullDescriptionAtomized/AncillaryData/language|/Dataset/TaxonRecord/TaxonomicDescription/IdentificationKeys/AncillaryData/language|/Dataset/TaxonRecord/UsesManagementAndConservation/AncillaryData/language|/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/AncillaryData/language|/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/ManagementAndConservationAtomized/AncillaryData/language|/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/AncillaryData/language|/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/AncillaryData/language,,,Filtrado VISTO GM (quitado el filtrado) ¿Lo hacemos dc:language? Decidimos que sí en la reunión todos (05/05/22). Lo dejamos para nuestra revisión (29.11.22). se matiene el filtrado y se añade que es de dc (doublin core),,plic,plic,http://rs.tdwg.org/plic/terms/,
1021,plic: terms,0,UsedIn,Used In,Location where the common name is used. ,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property ,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn,,,"Filtrado .,.. ojo, para revisar (GM & FP) De los de William",,plic,plic,http://rs.tdwg.org/plic/terms/,
1025,plic: terms,66,Legislation,Legislation,A national proposed law or group of laws. A regional proposed law or group of laws.,,,http://www.w3.org/2000/01/rdf-schema#Class,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation,,,Filtrado  (GM & FP),,plic,plic,http://rs.tdwg.org/plic/terms/,
1026,plic: terms,102,territory,territory,"Information, mostly associated to vertebrates, referring to the territorial extension of the individual or group in terms of its activities (feeding, mating, etc.).",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Territory,,,Filtrado,,plic,plic,http://rs.tdwg.org/plic/terms/,
1027,plic: terms,105,ThreatStatus,threat status,Information about the conservation status of the taxon.,,,http://www.w3.org/2000/01/rdf-schema#Class,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus,,,Filtrado,,plic,plic,http://rs.tdwg.org/plic/terms/,
1028,plic: terms,84,PopulationBiology,population biology,"Description of the variations in time and space, as well as in the size and density of populations, and the factors that cause such variations.",,,http://www.w3.org/2000/01/rdf-schema#Class,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology,,,Filtrado,,plic,plic,http://rs.tdwg.org/plic/terms/,
1029,plic: terms,25,DispersalAtomized,Atomized Dispersal,Dispersal element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized,,,Filtrado: es nivel intermedio  Revisado 17.11.22,,plic,plic,http://rs.tdwg.org/plic/terms/,
1030,plic: terms,58,legislationAtomized,Atomized Legislation,legislation element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized,,,Filtrado: es nivel intermedio  Revisado 17.11.22,,plic,plic,http://rs.tdwg.org/plic/terms/,
1032,plic: terms,0,LegislationType,Legislation Type,National and/or regional law or group of laws.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,Filtrado,,plic,plic,http://rs.tdwg.org/plic/terms/,
39,plic: terms,0,AppliesTo,Applies to,Location where the status is used.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo,,,Filtrado. Incluye términos de PliC,,plic,plic,http://rs.tdwg.org/plic/terms/,
1050,plic: terms,39,feedingAtomized,Atomized Feeding,feeding elemento in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Feeding,/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingAtomized,,,Filtrado.  es nivel intermedio  Revisado 17.11.22,,plic,plic,http://rs.tdwg.org/plic/terms/,
53,plic: terms,6,DistributionAtomized,Atomized Distribution,Distribution element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,"Filtrado. Incluye un elemento de Plinian y lo que se mantiene es el elemento de Plinian (i.e., GeographicEntity). 17.11.22",,plic,plic,http://rs.tdwg.org/plic/terms/,
1055,plic: terms,0,DistributionScopeType,Distribution Scope Type,"Categorization of scope qualifying the distribution presented in time (e.g. ""prior 1900"", ""current"", ""projected"", ""winter""), in space (e.g. ""in the Canary Islands"", ""Boreal""), by biological activity (e.g., ""foraging distribution"", ""reproductive area""), or any other criteria . A controlled vocabulary is recommended.  ",,,http://www.w3.org/2000/01/rdf-schema#Class  ,,HabitatAndDistribution,,,,Filtrado Agregado hace parte de Dispersal. Los type se eliminan (GM)?,,plic,plic,http://rs.tdwg.org/plic/terms/,
1057,plic: terms,7,geographicEntity,Geographic Entity, Name of the geographic entity. A controlled vocabulary --as specified in the Catalogue element-- is recommended. ,, e.g. Spain; Aguascalientas; Alabama; Ambon ,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,"Filtrado. Propuesta para eliminar (GM), repite con fila 60, y dejamos fila 60 (visto GM & FC 05/05/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1058,plic: terms,0,DistributionType,Distribution Type,Information about the distribution of the species based on the studied specimens collection sites data.  ,,,http://www.w3.org/2000/01/rdf-schema#Class ,,HabitatAndDistribution,,,,Filtrado Agregado hace parte de Dispersal. Los type se eliminan (GM)?,,plic,plic,http://rs.tdwg.org/plic/terms/,
1060,plic: terms,0,country,Country,The name of the country or major administrative unit in which the Location occurs. ,,It is recommended to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names. ,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property  ,,HabitatAndDistribution,/Dataset/Metadata/dataset/associatedParty/address/country|/Dataset/Metadata/dataset/contact/address/country|/Dataset/Metadata/dataset/creator/address/country|/Dataset/Metadata/dataset/metadataProvider/address/country|/Dataset/Metadata/dataset/project/personnel/address/country|/Dataset/TaxonRecord/RecordMetadata/Revision/associatedParty/address/country|/Dataset/TaxonRecord/associatedParty/address/country,,,Filtrado: Agregado hace parte de Dispersal. Tomado de dwc,,plic,plic,http://rs.tdwg.org/plic/terms/,
1061,plic: terms,0,stateProvince,State Province ,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property  ,,HabitatAndDistribution,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/stateProvince,,,Filtrado: Agregado hace parte de Dispersal. Tomado de dwc,,plic,plic,http://rs.tdwg.org/plic/terms/,
1062,plic: terms,0,county,County,"The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property  ,,HabitatAndDistribution,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/county,,,Filtrado: Agregado hace parte de Dispersal. Tomado de dwc,,plic,plic,http://rs.tdwg.org/plic/terms/,
1063,plic: terms,0,municipality,Municipality ,"The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location. ",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property  ,,HabitatAndDistribution,,,,Filtrado: Agregado hace parte de Dispersal. Tomado de dwc,,plic,plic,http://rs.tdwg.org/plic/terms/,
